"","text","favoriteCount","created","statusSource","period"
"278","   Imagine SachinKohli without a WC trophy ",0,"2022-12-11","Android",1
"279","    Possibly not but maybe he wont grow as a player if he stays where he is",0,"2022-12-11","iPhone",1
"280","  England is not that far i have much respect for your squad i am convinced this te ",0,"2022-12-11","Android",1
"281","FREED FROM DESIREEE ",0,"2022-12-11","iPhone",1
"282"," Mbappe",0,"2022-12-11","Android",1
"283","  All I was waiting to see Wilos smile firefire",2,"2022-12-11","iPhone",1
"284","   Congratulations",0,"2022-12-11","Android",1
"285","  How about France vs Morocco sobsobsob",0,"2022-12-11","Android",1
"286","  You really want to talk about class and humility with us  

When your kind are the ",1,"2022-12-11","Android",1
"287","  Come to Barcelona ",0,"2022-12-11","Android",1
"288","    England shouldve played foden yesterday wonder where was he on pitch",0,"2022-12-11","iPhone",1
"289"," Beat  Football Team by 21 and Qualified for the Semi Finals of  2022
What a T ",1,"2022-12-11","Android",1
"290","     Laughing on ronaldos knockout record muscle",0,"2022-12-11","Android",1
"291","    Goatkimi kicking mpaypals ",0,"2022-12-11","Android",1
"292","    Goatric eliminating them",0,"2022-12-11","iPhone",1
"293","Magic System 1re Gaou ",0,"2022-12-11","iPhone",1
"294","    Argentina in semis Im more than happy",0,"2022-12-11","Android",1
"295","   Nice face reveal mate",0,"2022-12-11","iPhone",1
"296","    Where is pengland tho ",1,"2022-12-11","iPhone",1
"297","Champions of the world  joy wan finish me ",0,"2022-12-11","iPhone",1
"298","   We were robbed of two pens shame on fifa",0,"2022-12-11","iPhone",1
"299","  Youve conquered all Except Champions League bro",1,"2022-12-11","Android",1
"300","   wheres  my good ser ",0,"2022-12-11","Android",1
"301","  Just make sure you beat Argentina thank you
Nique Argentina Merci",0,"2022-12-11","Android",1
"302","    boy what this is about running after a ball on a field not ",0,"2022-12-11","Android",1
"303","   Hes already won one smiley
Scored 4 goals in 2018 including 1 in the finals And hes still just 23",1,"2022-12-11","Android",1
"304","   I am already CEO of that hive pal",1,"2022-12-11","iPhone",1
"305","All aboard steamlocomotive",0,"2022-12-11","iPhone",1
"306","  I get that I think his overall performance was a shambles he gave 13 clear penalties ",0,"2022-12-11","iPhone",1
"307","  Love from Bangladesh ",0,"2022-12-11","Android",1
"308","  Congs congs more wins to the next rounds",0,"2022-12-11","Android",1
"309","check hidden tweets sobsob",1,"2022-12-11","iPhone",1
"310","  With pride and passion still within us Your supposed to be world champions better start playing like it",0,"2022-12-11","iPhone",1
"311","  The same player who didnt get a look in joyjoy",0,"2022-12-11","iPhone",1
"312","  Tears of pride",0,"2022-12-11","iPhone",1
"313","  My IDOL blueheartblueheartblueheartfirefirefire",0,"2022-12-11","Android",1
"314","  The ref gave one out of 3 blatant pens Maybe thats why anyway like I said the better teams out",0,"2022-12-11","iPhone",1
"315","Did Rishi Sunak congratulate France joy",0,"2022-12-11","iPhone",1
"316","  I love this team",0,"2022-12-11","iPhone",1
"317","        A few colo ",0,"2022-12-11","iPhone",1
"318","  Im not at all Im proud Im my team and there performance however the referee was a sh ",0,"2022-12-11","iPhone",1
"319","      FIFA is the World Community  One World One Gam ",0,"2022-12-11","iPhone",1
"320","     Youre talking poppy cock out here",0,"2022-12-11","Android",1
"321","    Who is in the semifinals",0,"2022-12-11","iPhone",1
"322","    Shaw is your best fullback Please dont think otherwise",0,"2022-12-11","Android",1
"323"," Dont worryworry less  gat you covered",0,"2022-12-11","Android",1
"324","  Congratulations",0,"2022-12-11","Android",1
