"","text","favoriteCount","created","statusSource","period"
"186","I wonder what will become of this suitcase perhaps should be donated to either morroco France Argentina or Croat ",1,"2022-12-11","Android",1
"187"," Good luck Argentina FIFAWorldCup",0,"2022-12-11","Android",1
"188","Been said before but its so nice to see Leo helped He doesnt have to carry Argentina  he inspires them His foo ",0,"2022-12-11","Web App",1
"189"," There are but not very many  When I was a kid growing up in Argentina you could live a lifetime in Arg ",0,"2022-12-11","Web App",1
"190","Love have  is worried about  but has said nothing about GrantWahl and his suspicious death 
",0,"2022-12-11","Android",1
"191","why didnt we play edson vs argentina",0,"2022-12-11","Web App",1
"192"," Argentina vs Netherlands",0,"2022-12-11","iPhone",1
"193"," Where did the Argentina go",0,"2022-12-11","iPhone",1
"194"," Best wishes for Team Argentina Inshallah They will win the world cup this year 
Ameen blueheart",0,"2022-12-11","Web App",1
"195","This guy is why I support Argentina at every woold cup
",0,"2022-12-11","Android",1
"196","After Portugal eliminatedI just want Argentina to win WC So that atleast one of the goatwon this time Cant take a ",0,"2022-12-11","Web App",1
"197","May the best team win the World Cup be it Argentina or whoever Fuck football and all it stands for Buenos Dias",0,"2022-12-11","iPhone",1
"198","Thanks to  my feed is full of Argentina fans crying and talking mad shit after barely making it to the s ",1,"2022-12-11","iPhone",1
"199","Luka Modric if you somehow managed to get Argentina out of the World Cup BELIEVE ME i will put you on the GOAT midfielder LIST",0,"2022-12-11","Android",1
"200"," Argentina 

Thanks for giving us such a great opportunity 


",0,"2022-12-11","Web App",1
"201"," Standards low for England Ive been watching them from Euro 88 Likes of Brazil or Argentina if you ",0,"2022-12-11","Web App",1
"202"," But did he attempt any on target or any foul and dint favor him No  it was btwn Morocco and Por ",0,"2022-12-11","Android",1
"203","  We will be here for Argentina",0,"2022-12-11","iPhone",1
"204"," In Spain and Argentina Ecuador and Peru it was quite intense but otherwise I am curious to hear more because I dont know",0,"2022-12-11","Android",1
"205","      FIFA is the World Community  One World One Gam ",0,"2022-12-11","iPhone",1
"206","  Morocco v France will be one big dharmasankat On the one hand you want them to stick it to ",0,"2022-12-11","Android",1
"207","Qatar fifa world cup is Rigged yes its confirmed after what happened yesterday and what happened in Argentina mat ",0,"2022-12-11","Android",1
"208"," good article but fails to clarify
 No USBrazilian levels of slave trade
 They do not naturali ",0,"2022-12-11","Android",1
"209"," Im actually Team Argentina but at this rate anything can happen ",1,"2022-12-11","iPhone",1
"210","France vs Argentina 
A dream world cup final ",0,"2022-12-11","Android",1
"211"," Argentina hasnt won it yet joyjoyjoy",0,"2022-12-11","Android",1
"212","   If Netherlands doing this its called respect but when messi and Argentina ",0,"2022-12-11","Android",1
"213","Anyone still on a lookout for Argentina vs Croatia tickets for their World Cup SemiFinal I got 2x tickets availab ",0,"2022-12-11","iPhone",1
"214","At this rate not impossible for Croatia vs Morocco
Im gonna say Argentina vs Morocco ARGMOR ",0,"2022-12-11","Android",1
"215"," Argentina vs France",0,"2022-12-11","iPad",1
"216"," Is Ronaldo envy towards messi Argentina  so contagious than covid",0,"2022-12-11","Web App",1
"217"," You will cry Argentina",0,"2022-12-11","iPhone",1
"218","What if
Argentina wins and Messi scores a goal And he celebrates it by doing siuuuugoat",0,"2022-12-11","Android",1
"219"," Bro I got 5 predictions already
Netherlands vs Argentina 
France vs England
Brazil vs South Korea 
Morroco ",1,"2022-12-11","iPhone",1
"220","Now all Messi haters are saying its France  Vs Croatia in FINALS

They will cry again
Argentina will say NO",2,"2022-12-11","Android",1
"221","World is just not ready to see messi crying after exiting from world cup like the other players did World is just ",0,"2022-12-11","Android",1
"222"," France or Argentina 100",0,"2022-12-11","Android",1
"223","Im glad that Argentina is winning this ball tournament",0,"2022-12-11","Android",1
"224","  winning international treblealthough Spain also did but Euro cupsame trophy twice in a row where al ",0,"2022-12-11","Android",1
"225"," Happy with any of the 4  France arg would be the brightest stars and big boys but theyre all good 3 ",0,"2022-12-11","Web App",1
"226","     The mental gymnastics wouldnt let you even if van gaal st ",0,"2022-12-11","Android",1
"227","    They have achieved a lot in last 16 years Nothing which they have w ",0,"2022-12-11","iPhone",1
"228","The semifinals are about to start Im so excited

WorldCup2022 
Japan 
France
Morocco 
Argentina 
Croatia",0,"2022-12-11","Android",1
"229"," As long as Argentina lose Im happy",0,"2022-12-11","Android",1
"230"," CROATIA TO WIN ARGENTINA",0,"2022-12-11","iPhone",1
"231","i can just imagine messi picking up the world cup for argentina and he can retire after that sab toh kar liya hai love you chota chetan",0,"2022-12-11","iPhone",1
"232","   Ok the ref rooted for argentina but how did he stop portugal from scoring a ",2,"2022-12-11","Android",1
"233"," England Almost did I dont think Argentina should be afraid of France",1,"2022-12-11","iPhone",1
"234","Argentina Vs France ",0,"2022-12-11","Android",1
"235"," Nah France and Argentina",0,"2022-12-11","Android",1
"236","  Argentina replying in kind to Dutch is arrogance  Blind onesided European Media",0,"2022-12-11","Android",1
"237","Argentina will win the world cup 2022Mark my words",0,"2022-12-11","Android",1
"238"," Pls come out of this radical mindset Its m for Morocco not m for

May the best team win It will be Argentina for sure",1,"2022-12-11","Android",1
"239"," WORLD CUP SEMIFINALS

Argentina vs Croatia

France vs Morocco
FIFAWorldCup",2,"2022-12-11","iPhone",1
"240","Leo Messi amp Argentina standing strong into the semis blueheart
Argentina FIFAWorldCup Qatar2022 ",0,"2022-12-11","Android",1
"241"," Yhu complain about the referees perfomances not nationality manArgentina players complained about ",0,"2022-12-11","iPhone",1
"242"," Whos the guy I only know the biggest player of Argentina  ",0,"2022-12-11","iPhone",1
"243","  And again Saying that Argentina is not only Messi and a coach thats saying they ",0,"2022-12-11","iPhone",1
"244","They can now give World Cup to Argentina Pepe Bruno Fernandes slam referee after Portugals exit from FIFA WC ",0,"2022-12-11","Web App",1
"245","   Take it from me Argentina is in the final by all means",0,"2022-12-11","iPhone",1
"246","Love is endless favorite football team Argentina We want to see Argentina as the winning team of 2022 football wor ",0,"2022-12-11","Android",1
"247"," England kya kiya hai penalty hage h  kya bolneka lol  Anyways  Repeat of 2018 finals yumor Argentina Win ",1,"2022-12-11","Web App",1
"248","So the final 

Argentina vs France ",4,"2022-12-11","Android",1
"249"," Argentina and morroco",0,"2022-12-11","Android",1
"250"," Global North Green to red
Global South Yelloworangered rainbow all over the place
Venezuela Red to yellow
Argentina Permared",0,"2022-12-11","Android",1
"251"," haitokei hio broh no  chance for argentina MESSI best player best keeper BONOU",0,"2022-12-11","Android",1
"252","  Argentina vs France who you supporting",0,"2022-12-11","iPhone",1
"253"," Im not watching the games but I was wondering at what point would Argentina get into a fight My question has been answered",0,"2022-12-11","Web App",1
"254","  Lets face it England had a real chance of winning this world cup Real big chance Morocco then po ",0,"2022-12-11","Android",1
"255"," Weka Argentina Tuesday wanalia",0,"2022-12-11","Android",1
"256"," I want to see Argentina  vs France ",0,"2022-12-11","iPhone",1
"257"," But I remember you were supporting Argentina and Messi early on 

Is it only because yesterdays match ",1,"2022-12-11","Web App",1
"258"," argentina and morocco",0,"2022-12-11","Web App",1
"259"," ArgentinaNetherlands was way better",0,"2022-12-11","iPhone",1
"260","    Ballon dors mean nout joyjoymate did u watch it when modric won probably ",0,"2022-12-11","iPhone",1
"261","2002 football world cupSouth Korean wear white T shirt in matchLoose to German in semisGerman lost world cupSam ",0,"2022-12-11","Web App",1
"262","He blamed it on Argentina tho  ",0,"2022-12-11","Android",1
"263"," they are yet to concede a single goal in this WC extremely strong defense and a great goali but naa ",0,"2022-12-11","Web App",1
"264"," I would be very happy if Morocco wins because being Muslim I would always be proud of an Arabic count ",1,"2022-12-11","iPhone",1
"265","2022 FIFA World Cup predictions picking every game Germany and England make deep runs Argentina prevail
Jersey ",0,"2022-12-11","Web App",1
"266"," France and Argentina",0,"2022-12-11","Android",1
"267","Argentina vs France final loading",0,"2022-12-11","Android",1
"268"," Argentina weary
Wicked souls joy",1,"2022-12-11","Android",1
"269","wait so now im thinking about it what has argentina got to do with portugal truly skull
bruno really thinks messi vs r ",0,"2022-12-11","iPhone",1
"270"," Did Pepe and Bruno not see the Argentina v Netherlands game the fuck are they on take the L and move o ",0,"2022-12-11","Android",1
"271"," If Kane knew how to shoot or the ref was as bad as that from the Argentina game England walk away with atleast 4 penalties",0,"2022-12-11","Android",1
"272"," When did he disrespect argentina",1,"2022-12-11","Android",1
"273","    They think the Argentina referee will hurt Portugal because Cr7 is ",0,"2022-12-11","Android",1
"274","Just like Ronaldo two things are certain with his fans as well first if any thing goes well its all his doing s ",1,"2022-12-11","Android",1
"275"," I wanted Argentina to lose when they played Mexico btw",0,"2022-12-11","Android",1
"276","   Why did this obsession with Argentina You dont criticize Mexico or Bolivia ",0,"2022-12-11","Android",1
"277"," No Argentina doesnt allow black people",0,"2022-12-11","iPhone",1
"278","The final four 4

 Argentina v Croatia  
 France v Morocco  ",0,"2022-12-11","Web App",1
"279","I hope Argentina do it man but its hard even to this day they still over rely on Messi lets see what happens though ",1,"2022-12-11","iPhone",1
"280","  If Argentina and Morocco lose Im certain they wont be cry babies",0,"2022-12-11","Web App",1
"281","  This tweet is seriously goodblushbtw its easy win for Argentina Croatian players are too tired",0,"2022-12-11","Android",1
